TrainingID,FarmerID,TrainingTopic,AttendanceDate,Location,Trainer,FeedbackScore
T034,F088,Crop Rotation,2024-04-04,Kumasi,Samuel Mensah,4
T035,F005,Pest Control,2024-04-05,Ejura,Grace Owusu,5
T036,F126,Agroecology,2024-04-06,Techiman,Kwaku Boateng,3
T037,F053,Soil Management,2024-04-07,Kumasi,Samuel Mensah,4
T038,F099,Crop Rotation,2024-04-08,Ejura,Grace Owusu,5
T039,F016,Pest Control,2024-04-09,Techiman,Kwaku Boateng,3
T040,F082,Agroecology,2024-04-10,Kumasi,Samuel Mensah,4
T041,F007,Soil Management,2024-04-11,Ejura,Grace Owusu,5
T042,F111,Crop Rotation,2024-04-12,Techiman,Kwaku Boateng,3
T043,F026,Pest Control,2024-04-13,Kumasi,Samuel Mensah,4
T044,F096,Agroecology,2024-04-14,Ejura,Grace Owusu,5
T045,F067,Soil Management,2024-04-15,Techiman,Kwaku Boateng,3
T046,F125,Crop Rotation,2024-04-16,Kumasi,Samuel Mensah,4
T047,F040,Pest Control,2024-04-17,Ejura,Grace Owusu,5
T048,F114,Agroecology,2024-04-18,Techiman,Kwaku Boateng,3
T049,F019,Soil Management,2024-04-19,Kumasi,Samuel Mensah,4
T050,F084,Crop Rotation,2024-04-20,Ejura,Grace Owusu,5
T051,F031,Pest Control,2024-04-21,Techiman,Kwaku Boateng,3
T052,F105,Agroecology,2024-04-22,Kumasi,Samuel Mensah,4
T053,F013,Soil Management,2024-04-23,Ejura,Grace Owusu,5
T054,F093,Crop Rotation,2024-04-24,Techiman,Kwaku Boateng,3
T055,F022,Pest Control,2024-04-25,Kumasi,Samuel Mensah,4
T056,F078,Agroecology,2024-04-26,Ejura,Grace Owusu,5
T057,F041,Soil Management,2024-04-27,Techiman,Kwaku Boateng,3
T058,F110,Crop Rotation,2024-04-28,Kumasi,Samuel Mensah,4
T059,F025,Pest Control,2024-04-29,Ejura,Grace Owusu,5
T060,F092,Agroecology,2024-04-30,Techiman,Kwaku Boateng,3
T061,F015,Soil Management,2024-05-01,Kumasi,Samuel Mensah,4
T062,F086,Crop Rotation,2024-05-02,Ejura,Grace Owusu,5
T063,F129,Pest Control,2024-05-03,Techiman,Kwaku Boateng,3
T064,F037,Agroecology,2024-05-04,Kumasi,Samuel Mensah,4
T065,F100,Soil Management,2024-05-05,Ejura,Grace Owusu,5
T066,F028,Crop Rotation,2024-05-06,Techiman,Kwaku Boateng,3
T067,F112,Pest Control,2024-05-07,Kumasi,Samuel Mensah,4
T068,F020,Agroecology,2024-05-08,Ejura,Grace Owusu,5
T069,F059,Soil Management,2024-05-09,Techiman,Kwaku Boateng,3
T070,F102,Crop Rotation,2024-05-10,Kumasi,Samuel Mensah,4
T071,F012,Pest Control,2024-05-11,Ejura,Grace Owusu,5
T072,F124,Agroecology,2024-05-12,Techiman,Kwaku Boateng,3
T073,F043,Soil Management,2024-05-13,Kumasi,Samuel Mensah,4
T074,F098,Crop Rotation,2024-05-14,Ejura,Grace Owusu,5
T075,F017,Pest Control,2024-05-15,Techiman,Kwaku Boateng,3
T076,F081,Agroecology,2024-05-16,Kumasi,Samuel Mensah,4
T077,F006,Soil Management,2024-05-17,Ejura,Grace Owusu,5
T078,F109,Crop Rotation,2024-05-18,Techiman,Kwaku Boateng,3
T079,F030,Pest Control,2024-05-19,Kumasi,Samuel Mensah,4
T080,F118,Agroecology,2024-05-20,Ejura,Grace Owusu,5
T081,F023,Soil Management,2024-05-21,Techiman,Kwaku Boateng,3
T082,F085,Crop Rotation,2024-05-22,Kumasi,Samuel Mensah,4
T083,F048,Pest Control,2024-05-23,Ejura,Grace Owusu,5
T084,F134,Agroecology,2024-05-24,Techiman,Kwaku Boateng,3
T085,F064,Soil Management,2024-05-25,Kumasi,Samuel Mensah,4
T086,F007,Crop Rotation,2024-05-26,Ejura,Grace Owusu,5
T087,F121,Pest Control,2024-05-27,Techiman,Kwaku Boateng,3
T088,F032,Agroecology,2024-05-28,Kumasi,Samuel Mensah,4
T089,F106,Soil Management,2024-05-29,Ejura,Grace Owusu,5
T090,F027,Crop Rotation,2024-05-30,Techiman,Kwaku Boateng,3
T091,F090,Pest Control,2024-05-31,Kumasi,Samuel Mensah,4
T092,F075,Agroecology,2024-06-01,Ejura,Grace Owusu,5
T093,F011,Soil Management,2024-06-02,Techiman,Kwaku Boateng,3
T094,F077,Crop Rotation,2024-06-03,Kumasi,Samuel Mensah,4
T095,F056,Pest Control,2024-06-04,Ejura,Grace Owusu,5
T096,F115,Agroecology,2024-06-05,Techiman,Kwaku Boateng,3
T097,F029,Soil Management,2024-06-06,Kumasi,Samuel Mensah,4
T098,F108,Crop Rotation,2024-06-07,Ejura,Grace Owusu,5
T099,F050,Pest Control,2024-06-08,Techiman,Kwaku Boateng,3
T100,F132,Agroecology,2024-06-09,Kumasi,Samuel Mensah,4
T101,F044,Soil Management,2024-06-10,Ejura,Grace Owusu,5
T102,F067,Crop Rotation,2024-06-11,Techiman,Kwaku Boateng,3
T103,F019,Pest Control,2024-06-12,Kumasi,Samuel Mensah,4
T104,F084,Agroecology,2024-06-13,Ejura,Grace Owusu,5
T105,F031,Soil Management,2024-06-14,Techiman,Kwaku Boateng,3
T106,F105,Crop Rotation,2024-06-15,Kumasi,Samuel Mensah,4
T107,F013,Pest Control,2024-06-16,Ejura,Grace Owusu,5
T108,F093,Agroecology,2024-06-17,Techiman,Kwaku Boateng,3
T109,F022,Soil Management,2024-06-18,Kumasi,Samuel Mensah,4
T110,F078,Crop Rotation,2024-06-19,Ejura,Grace Owusu,5
T111,F041,Pest Control,2024-06-20,Techiman,Kwaku Boateng,3
T112,F110,Agroecology,2024-06-21,Kumasi,Samuel Mensah,4
T113,F025,Soil Management,2024-06-22,Ejura,Grace Owusu,5
T114,F092,Crop Rotation,2024-06-23,Techiman,Kwaku Boateng,3
T115,F015,Pest Control,2024-06-24,Kumasi,Samuel Mensah,4
T116,F086,Agroecology,2024-06-25,Ejura,Grace Owusu,5
T117,F129,Soil Management,2024-06-26,Techiman,Kwaku Boateng,3
T118,F037,Crop Rotation,2024-06-27,Kumasi,Samuel Mensah,4
T119,F100,Pest Control,2024-06-28,Ejura,Grace Owusu,5
T120,F028,Agroecology,2024-06-29,Techiman,Kwaku Boateng,3
T121,F112,Soil Management,2024-06-30,Kumasi,Samuel Mensah,4
T122,F020,Crop Rotation,2024-07-01,Ejura,Grace Owusu,5
T123,F059,Pest Control,2024-07-02,Techiman,Kwaku Boateng,3
T124,F102,Agroecology,2024-07-03,Kumasi,Samuel Mensah,4
T125,F012,Soil Management,2024-07-04,Ejura,Grace Owusu,5
T126,F124,Crop Rotation,2024-07-05,Techiman,Kwaku Boateng,3
T127,F043,Pest Control,2024-07-06,Kumasi,Samuel Mensah,4
T128,F098,Agroecology,2024-07-07,Ejura,Grace Owusu,5
T129,F017,Soil Management,2024-07-08,Techiman,Kwaku Boateng,3
T130,F081,Crop Rotation,2024-07-09,Kumasi,Samuel Mensah,4
T131,F006,Pest Control,2024-07-10,Ejura,Grace Owusu,5
T132,F109,Agroecology,2024-07-11,Techiman,Kwaku Boateng,3
T133,F030,Soil Management,2024-07-12,Kumasi,Samuel Mensah,4
T134,F118,Crop Rotation,2024-07-13,Ejura,Grace Owusu,5
T135,F023,Pest Control,2024-07-14,Techiman,Kwaku Boateng,3
T136,F085,Agroecology,2024-07-15,Kumasi,Samuel Mensah,4
T137,F048,Soil Management,2024-07-16,Ejura,Grace Owusu,5
T138,F134,Crop Rotation,2024-07-17,Techiman,Kwaku Boateng,3
T139,F064,Pest Control,2024-07-18,Kumasi,Samuel Mensah,4
T140,F007,Agroecology,2024-07-19,Ejura,Grace Owusu,5
T141,F121,Soil Management,2024-07-20,Techiman,Kwaku Boateng,3
T142,F032,Crop Rotation,2024-07-21,Kumasi,Samuel Mensah,4
T143,F106,Pest Control,2024-07-22,Ejura,Grace Owusu,5
T144,F027,Agroecology,2024-07-23,Techiman,Kwaku Boateng,3
T145,F090,Soil Management,2024-07-24,Kumasi,Samuel Mensah,4
T146,F075,Crop Rotation,2024-07-25,Ejura,Grace Owusu,5
T147,F011,Pest Control,2024-07-26,Techiman,Kwaku Boateng,3
T148,F077,Agroecology,2024-07-27,Kumasi,Samuel Mensah,4
T149,F056,Soil Management,2024-07-28,Ejura,Grace Owusu,5
T150,F115,Crop Rotation,2024-07-29,Techiman,Kwaku Boateng,3
T151,F029,Pest Control,2024-07-30,Kumasi,Samuel Mensah,4
T152,F108,Agroecology,2024-07-31,Ejura,Grace Owusu,5
T153,F050,Soil Management,2024-08-01,Techiman,Kwaku Boateng,3
T154,F132,Crop Rotation,2024-08-02,Kumasi,Samuel Mensah,4
T155,F044,Pest Control,2024-08-03,Ejura,Grace Owusu,5
T156,F067,Agroecology,2024-08-04,Techiman,Kwaku Boateng,3
T157,F019,Soil Management,2024-08-05,Kumasi,Samuel Mensah,4
T158,F084,Crop Rotation,2024-08-06,Ejura,Grace Owusu,5
T159,F031,Pest Control,2024-08-07,Techiman,Kwaku Boateng,3
T160,F105,Agroecology,2024-08-08,Kumasi,Samuel Mensah,4
T161,F013,Soil Management,2024-08-09,Ejura,Grace Owusu,5
T162,F093,Crop Rotation,2024-08-10,Techiman,Kwaku Boateng,3
T163,F022,Pest Control,2024-08-11,Kumasi,Samuel Mensah,4
T164,F078,Agroecology,2024-08-12,Ejura,Grace Owusu,5
T165,F041,Soil Management,2024-08-13,Techiman,Kwaku Boateng,3
T166,F110,Crop Rotation,2024-08-14,Kumasi,Samuel Mensah,4
T167,F025,Pest Control,2024-08-15,Ejura,Grace Owusu,5
T168,F092,Agroecology,2024-08-16,Techiman,Kwaku Boateng,3
T169,F015,Soil Management,2024-08-17,Kumasi,Samuel Mensah,4
T170,F086,Crop Rotation,2024-08-18,Ejura,Grace Owusu,5
T171,F129,Pest Control,2024-08-19,Techiman,Kwaku Boateng,3
T172,F037,Agroecology,2024-08-20,Kumasi,Samuel Mensah,4
T173,F100,Soil Management,2024-08-21,Ejura,Grace Owusu,5
T174,F028,Crop Rotation,2024-08-22,Techiman,Kwaku Boateng,3
T175,F112,Pest Control,2024-08-23,Kumasi,Samuel Mensah,4
T176,F020,Agroecology,2024-08-24,Ejura,Grace Owusu,5
T177,F059,Soil Management,2024-08-25,Techiman,Kwaku Boateng,3
T178,F102,Crop Rotation,2024-08-26,Kumasi,Samuel Mensah,4
T179,F012,Pest Control,2024-08-27,Ejura,Grace Owusu,5
T180,F124,Agroecology,2024-08-28,Techiman,Kwaku Boateng,3
T181,F043,Soil Management,2024-08-29,Kumasi,Samuel Mensah,4
T182,F098,Crop Rotation,2024-08-30,Ejura,Grace Owusu,5
T183,F017,Pest Control,2024-08-31,Techiman,Kwaku Boateng,3
T184,F081,Agroecology,2024-09-01,Kumasi,Samuel Mensah,4
T185,F006,Soil Management,2024-09-02,Ejura,Grace Owusu,5
T186,F109,Crop Rotation,2024-09-03,Techiman,Kwaku Boateng,3
T187,F030,Pest Control,2024-09-04,Kumasi,Samuel Mensah,4
T188,F118,Agroecology,2024-09-05,Ejura,Grace Owusu,5
T189,F023,Soil Management,2024-09-06,Techiman,Kwaku Boateng,3
T190,F085,Crop Rotation,2024-09-07,Kumasi,Samuel Mensah,4
T191,F048,Pest Control,2024-09-08,Ejura,Grace Owusu,5
T192,F134,Agroecology,2024-09-09,Techiman,Kwaku Boateng,3
T193,F064,Soil Management,2024-09-10,Kumasi,Samuel Mensah,4
T194,F007,Crop Rotation,2024-09-11,Ejura,Grace Owusu,5
T195,F121,Pest Control,2024-09-12,Techiman,Kwaku Boateng,3
T196,F032,Agroecology,2024-09-13,Kumasi,Samuel Mensah,4
T197,F106,Soil Management,2024-09-14,Ejura,Grace Owusu,5
T198,F027,Crop Rotation,2024-09-15,Techiman,Kwaku Boateng,3
T199,F090,Pest Control,2024-09-16,Kumasi,Samuel Mensah,4
T200,F075,Agroecology,2024-09-17,Ejura,Grace Owusu,5
T201,F011,Soil Management,2024-09-18,Techiman,Kwaku Boateng,3
T202,F077,Crop Rotation,2024-09-19,Kumasi,Samuel Mensah,4
T203,F056,Pest Control,2024-09-20,Ejura,Grace Owusu,5
T204,F115,Agroecology,2024-09-21,Techiman,Kwaku Boateng,3
T205,F029,Soil Management,2024-09-22,Kumasi,Samuel Mensah,4
T206,F108,Crop Rotation,2024-09-23,Ejura,Grace Owusu,5
T207,F050,Pest Control,2024-09-24,Techiman,Kwaku Boateng,3
T208,F132,Agroecology,2024-09-25,Kumasi,Samuel Mensah,4
T209,F044,Soil Management,2024-09-26,Ejura,Grace Owusu,5
T210,F067,Crop Rotation,2024-09-27,Techiman,Kwaku Boateng,3
T211,F019,Pest Control,2024-09-28,Kumasi,Samuel Mensah,4
T212,F084,Agroecology,2024-09-29,Ejura,Grace Owusu,5
T213,F031,Soil Management,2024-09-30,Techiman,Kwaku Boateng,3
T214,F105,Crop Rotation,2024-10-01,Kumasi,Samuel Mensah,4
T215,F013,Pest Control,2024-10-02,Ejura,Grace Owusu,5
T216,F093,Agroecology,2024-10-03,Techiman,Kwaku Boateng,3
T217,F022,Soil Management,2024-10-04,Kumasi,Samuel Mensah,4
T218,F078,Crop Rotation,2024-10-05,Ejura,Grace Owusu,5
T219,F041,Pest Control,2024-10-06,Techiman,Kwaku Boateng,3
T220,F110,Agroecology,2024-10-07,Kumasi,Samuel Mensah,4
